image_path,label
./dataset/plants/K/frame_0007.jpg,K
./dataset/plants/B/frame_0043.jpg,B
./dataset/plants/G/frame_0000.jpg,G
./dataset/plants/C/frame_0018.jpg,C
./dataset/plants/M/frame_0034.jpg,M
./dataset/plants/M/frame_0038.jpg,M
./dataset/plants/L/frame_0042.jpg,L
./dataset/plants/K/frame_0030.jpg,K
./dataset/plants/M/frame_0036.jpg,M
./dataset/plants/E/frame_0016.jpg,E
./dataset/plants/F/frame_0002.jpg,F
./dataset/plants/G/frame_0010.jpg,G
./dataset/plants/C/frame_0009.jpg,C
./dataset/plants/F/frame_0006.jpg,F
./dataset/plants/D/frame_0030.jpg,D
./dataset/plants/M/frame_0033.jpg,M
./dataset/plants/N/frame_0007.jpg,N
./dataset/plants/M/frame_0045.jpg,M
./dataset/plants/D/frame_0038.jpg,D
./dataset/plants/D/frame_0017.jpg,D
./dataset/plants/L/frame_0052.jpg,L
./dataset/plants/G/frame_0024.jpg,G
./dataset/plants/E/frame_0019.jpg,E
./dataset/plants/F/frame_0019.jpg,F
./dataset/plants/H/frame_0017.jpg,H
./dataset/plants/E/frame_0033.jpg,E
./dataset/plants/M/frame_0037.jpg,M
./dataset/plants/M/frame_0010.jpg,M
./dataset/plants/J/frame_0038.jpg,J
./dataset/plants/C/frame_0075.jpg,C
./dataset/plants/D/frame_0011.jpg,D
./dataset/plants/B/frame_0039.jpg,B
./dataset/plants/F/frame_0053.jpg,F
./dataset/plants/M/frame_0050.jpg,M
./dataset/plants/N/frame_0016.jpg,N
./dataset/plants/D/frame_0013.jpg,D
./dataset/plants/E/frame_0035.jpg,E
./dataset/plants/H/frame_0021.jpg,H
./dataset/plants/M/frame_0001.jpg,M
./dataset/plants/B/frame_0020.jpg,B
./dataset/plants/J/frame_0040.jpg,J
./dataset/plants/H/frame_0004.jpg,H
./dataset/plants/H/frame_0011.jpg,H
./dataset/plants/B/frame_0008.jpg,B
./dataset/plants/G/frame_0004.jpg,G
./dataset/plants/K/frame_0017.jpg,K
./dataset/plants/A/frame_0031.jpg,A
./dataset/plants/D/frame_0010.jpg,D
./dataset/plants/K/frame_0003.jpg,K
./dataset/plants/F/frame_0049.jpg,F
